"term","refresh_date","rank"
barcelona x porto,"2023-11-30",3
city x rb leipzig,"2023-11-30",1
lazio,"2023-11-30",9
milan x borussia,"2023-11-30",6
navbahor professional futbol klubi x al-hilal,"2023-11-30",10
newcastle,"2023-11-30",5
psg,"2023-11-30",7
psg x newcastle,"2023-11-30",2
vasco da gama x corinthians,"2023-11-30",4
vasco x corinthians,"2023-11-30",8
ecac,"2023-11-29",6
entrevista ana hickmann,"2023-11-29",7
flavio dino,"2023-11-29",3
fulham,"2023-11-29",4
goiás x cruzeiro,"2023-11-29",5
greve,"2023-11-29",10
greve amanhã,"2023-11-29",1
greve metro,"2023-11-29",8
greve metro sp,"2023-11-29",9
nathalia morais,"2023-11-29",2
américa-mg x flamengo,"2023-11-28",1
atlético-mg x grêmio,"2023-11-28",2
botafogo x santos,"2023-11-28",7
cádiz x real madrid,"2023-11-28",3
everton x manchester united,"2023-11-28",9
fortaleza x palmeiras,"2023-11-28",4
internacional x bragantino,"2023-11-28",8
leo jaime,"2023-11-28",5
são paulo x cuiabá,"2023-11-28",6
tottenham x aston villa,"2023-11-28",10
abc x vila nova,"2023-11-27",6
al hazm x al-hilal,"2023-11-27",8
athletico-pr x vasco da gama,"2023-11-27",1
brentford x arsenal,"2023-11-27",7
ceará sc x juventude,"2023-11-27",10
city x liverpool,"2023-11-27",2
manchester city x liverpool,"2023-11-27",9
newcastle x chelsea,"2023-11-27",4
rayo vallecano x barcelona,"2023-11-27",3
sport recife x sampaio corrêa,"2023-11-27",5
al nassr,"2023-11-26",6
al-nassr x al akhdoud,"2023-11-26",2
bayern,"2023-11-26",7
brasil sub 17,"2023-11-26",8
colônia x bayern,"2023-11-26",4
corinthians x bahia,"2023-11-26",3
desoneração da folha de pagamento,"2023-11-26",9
flamengo x bragantino,"2023-11-26",10
psg,"2023-11-26",5
psg x mônaco,"2023-11-26",1
boca juniors x estudiantes,"2023-11-25",10
botafogo,"2023-11-25",5
botafogo de futebol e regatas,"2023-11-25",7
botafogo x,"2023-11-25",2
enquete a fazenda,"2023-11-25",9
flamengo x bragantino,"2023-11-25",3
fluminense x são paulo,"2023-11-25",8
fortaleza x botafogo,"2023-11-25",1
jogo do botafogo,"2023-11-25",6
rubens minelli,"2023-11-25",4
carlos augusto,"2023-11-24",6
cruzeiro x vasco,"2023-11-24",2
cruzeiro x vasco da gama,"2023-11-24",1
fluminense x são paulo,"2023-11-24",5
jogo do cruzeiro,"2023-11-24",8
jogo do vasco,"2023-11-24",10
resultado do jogo do brasil,"2023-11-24",4
vasco,"2023-11-24",9
vasco hoje,"2023-11-24",7
vasco x,"2023-11-24",3
brasil x argentina,"2023-11-23",9
cmsp,"2023-11-23",6
cmsp web,"2023-11-23",5
frança fc,"2023-11-23",8
grécia x frança,"2023-11-23",2
jogo do brasil hoje,"2023-11-23",7
paraguai x colômbia,"2023-11-23",3
sed,"2023-11-23",10
tomie ohtake,"2023-11-23",1
uruguai x bolívia,"2023-11-23",4
